actor,public_commits,total_commits,is_org,n_repos_2025
arighi,-544,107,False,2
Egor228000,4,4,False,2
iadarshrawat,3,22,False,2
alexxarmaas,8,8,False,2
snajpa,28,28,False,3
Khalil-secure,239,239,True,3
GabrielVilarino,17,17,False,2
SteveJustin1963,58,58,False,2
metsma,47,47,False,3
ksy13001,92,121,False,3
Harsh-Koringa,0,0,True,2
iam-i-j-k,5,5,False,2
Patriciat87,0,0,False,2
mateolatte,0,0,False,2
stephentoub,264,343,False,4
yanthomasdev,269,288,False,3
Crivella,337,338,False,3
Willian7004,2,2,False,2
nuclearcat,40,328,False,7
scratchgamingone,15,15,False,2
SifisoScS,-590,48,False,2
mynewproject123,24,24,False,2
Mandip69,0,0,False,2
synapticloop,-5,5,False,3
MdTeach,162,165,False,2
KiJeong-Lim,55,55,True,3
thepreakerebi,101,169,False,2
IsidroTrevino,10,10,False,2
Sumith2104,69,117,False,2
elroi773,881,881,False,3
seeleclover,-17,0,False,2
yangziyiiii,-18,0,False,3
lauradevcode,85,113,False,3
Udaichauhan284,135,135,False,2
egorka-kzmn,1,1,True,2
utpanna-pradhan,24,24,True,3
ultimateBroK,-11,100,False,2
reece-b4,0,0,False,2
CliffordIsaboke,4,4,False,3
x-4,0,0,False,2
M1noa,74,74,False,2
KnarliX,-38,69,False,2
OpheliaArrindell,0,0,False,2
minhe8564,-187,77,True,2
slashmili,-670,13,False,2
lighteko,-55,116,False,2
AleksandarDev,-165,588,False,3
tvpham,0,0,False,2
jonenst,23,23,False,5
McCollinsMediaWeb,46,46,False,2
CharaD7,102,113,False,2
janosh,560,624,False,3
kfrey-idm,87,97,False,3
DaffaDeveloper,48,48,False,2
princebhatt03,1,1,False,2
cybertheory,-163,48,False,2
asteroid-338,3,3,False,2
Nlkomaru,167,236,False,2
ssu09090,0,0,False,2
nhatdoanexpo,18141,18141,False,3
Potu123,11,11,False,2
NicholasClooney,-561,503,False,2
Joshibbotson,-263,35,False,2
Luesf,2,2,False,2
benj12,-1,0,False,2
NotNestor,25,25,True,3
v3DJG6GL,23,23,False,2
n8n-ninja,0,0,False,2
qifeng-bai,14,14,False,2
aszenz,48,48,False,2
khushbul10,15,15,False,2
Ryanatrix,23,23,False,2
tq-bit,-51,5,False,2
nOOne-is-hier,81,82,True,3
alamgir-ahosain,36,65,True,2
DevXSec,0,0,False,2
geoffreydatema,93,93,False,2
mpiannucci,-474,73,True,3
dobe4ever,9,9,False,3
yJuste,10,10,False,2
do0ori,86,86,True,2
lekhrajdinkar,209,209,False,2
zayedkhan1,25,25,False,4
locharp,36,36,False,2
vli777,-206,88,False,3
biosp4rk,176,176,False,2
hwang-hyesung,37,37,True,3
seintur,8,8,False,3
chrisfinazzo,24,27,False,2
elasticmachine,431,431,True,10
araobp,241,241,False,3
RitvikKapila,0,0,True,2
aerial33,41,41,False,2
garethbaars,19,19,False,2
Carifio24,420,537,False,4
mrsushil67,6,6,False,2
SheepYhangCN,59,106,False,2
thiagoxlcomearroz-hue,0,0,True,2
datascience-institute,2,2,True,2
mamtawardhani,14,15,True,2
RatanaReanMIS,0,0,False,2
batyuzo,0,0,False,2
objarni,0,0,False,2
commrade-goad,297,297,True,3
sooda4201,0,0,False,2
thatguyinabeanie,117,329,False,5
catdevnull,0,0,False,3
laysiong,0,0,False,2
Cyb3r-Jak3,-544,196,True,2
snehitadhatri,0,0,False,2
suhaib-md,0,0,False,2
Gitanjali988,5,5,False,3
easyshellworld,6,8,False,2
Tabaie,13,13,False,2
pouyaebad,0,0,False,3
syniol,65,81,False,2
mprzewie,-16,2,False,2
lizhouyu,-25,0,False,2
theluqmn,28,56,False,2
AirinNila,-169,0,False,4
sylvestre,503,748,True,6
Tanchwa,42,42,False,2
oagrwatch,0,0,False,2
sanjaydeveloper9696,20,20,False,3
Dinidu21,-310,130,False,2
OmKadane,6,6,False,2
alexeuu,0,0,False,2
AnilBASARAN,-176,0,False,2
u202220034,9,9,False,2
dvlp-sy,20,22,False,2
HarryVasanth,-497,151,False,3
mary-python,0,0,True,13
Petou21,0,0,False,2
ngrogg,-36,35,False,4
AlissonFredo,26,26,False,3
RAVI-0407,0,0,False,3
saiharsha-plivo,6,6,True,2
FelipeBaracaldo1118,68,68,False,2
meshackkiplimo,-76,3,False,4
sonms,272,272,False,2
CXPhoenix,362,362,True,2
roxblnfk,274,282,False,6
Clovhis,185,185,False,2
Ralet11,44,111,False,3
bobschmitt-civicactions,15,15,True,2
Japnoor27,348,348,False,2
dalecb13,-113,13,False,2
mcconnellj,59,59,False,2
frett,105,105,False,5
AbdullahSofayan,10,10,False,3
Ahlyab,-273,29,False,3
Galoretka,23,23,False,2
gagdiez,134,134,True,3
zzfz1,0,0,True,2
genskyff,44,46,False,2
alexander-held,3,41,True,2
Cheuhyeen,26,26,False,2
romainmenke,-106,411,False,5
KindaSpoony,0,0,False,2
Blayt05,2,5,False,2
Teddy-GH,5,5,False,2
ins1ght165,1,1,False,2
RichardM20,2,2,False,2
imsudiptaa,3,3,False,2
wolfeidau,93,345,False,2
shiehb,2,2,False,2
Entkenntnis,381,475,False,3
AdamoxB,0,0,False,2
semalaiappan,31,31,True,2
Cielquan,0,0,False,2
cfrance3,50,50,False,2
imehr,-516,4,False,2
dknopik,3,8,False,2
Kesig777,0,0,False,3
gnott,101,101,False,2
Juanperias,43,43,False,2
